text,category
 Hallways look institutional Breakfast is way over priced but with the mall right there other options that are better and more affordable are easily accessible ,Negative
 The hotel was a little further out of the cit centre then we anticipated but the transport connections made up for it ,Negative
 Nothing in particular Last day the elevator did not work for some hours but it sure can happen it was nobody s fault in particular so I won t blame anyone at the hotel for this little problem ,Negative
 a window s hinge was broken no sun blocking curtains on the window next to the bed and I ve been waken up every day by the morning sun expensive breakfast 14 ,Negative
No Negative,Negative
 Vacuum cleaning started too early in the morning in the apartment above us so we couldn t sleep 7 00 am is way too early for that Although our stay was comfortable and enjoyable we wouldn t rate the hotel as 4 stars unfortunately Also we couldn t get onto our balcony as it was impossible to open the shutters to gain the access we spent some time figuring it out but gave up in the end ,Negative
No Negative,Negative
 I ordered two double rooms standard B B When we arrived at the hotel we were asked to pay before entering the room that which seemed to me curious so I asked to see the room first We received two relatively small rooms near the hall serving breakfast From these rooms can feel good smells from the kitchen and hall mese In these conditions have asked us to provide other rooms after a little consultation we received two receptionists between rooms to another floor away from the dining room but had to pay an additional price I did not know this at the time when I ordered room on the internet When I asked where the parking lot I received explanations where is the entrance to the parking lot but looked to specify the parking area allocated to hotel guests parking is common with a large commercial complex that it has determined to seek about 15 minutes the area was reserved for hotel guests ,Negative
 outside of the hotel and halls are not very representative,Negative
 The entrance door was similar to an office and we had not a good impression on entry The user s guide of safe box was not apparently compatible with the safe box And a sentence on it that hotel accepts responsibility of safe box contents only up to Euros 500 forced us not to put our documents in there As they are more important for us compared with Euros 500 A gentleman in reception was not aware of our situation and our request for late checkout and disabled our keys at noon Although he politely fixed this ,Negative
 The parking is in the mall area and you can really get confused while reaching out to the hotel ,Negative
 Did think the breakfast was a little expensive Lift was small and slow ,Negative
 The neighborhood is really not a nice area We had a triple room which was sold as a room with double bed and a single bed At the end the single bed was a few sofa cushions on a wood board The long corridors at the 4th floor gave me the feeling of being in a hospital Definitely not worth 4 stars ,Negative
 AC was not initially working at all After the staff worked on it it only partially worked for the remainder of our stay ,Negative
 Bored staff loud and non controllable air condition room temperature controller out of order it was not 4 hotel it is only a 2 ,Negative
 Well at the breakfast situation was chaotic not enough waiters so too many dirty plates on the tables not enough food on the buffet table no clean plates all the time Only one waitress is not enough Only one elevator ,Negative
 Quality of the bed is terrible We asked for a queen bed and got two twins Not good if you are a couple Definetly not a 4 stars hotel max 3 ,Negative
 No room service no tea making facilities in room,Negative
 Parking garage is a little confusing ,Negative
 The hotel doesn t have a parking the one next to it is a private one which costs 15 euro day not included in the room price The minibar fridge was empty ,Negative
No Negative,Negative
 very close to the subway but it is not the best area to stay if you want to feel the Vienna old town overall room is clean and more business hotel I would say ,Negative
 a There was no restaurant inside the hotel So you could not have a lunch or a dinner inside the hotel except the breakfast b The main problem is that the area where the hotel is located is in the 15th district which is the worst one in Vienna Unfortunately we discovered this issue after having booked the hotel The hotel is located close to the West Train Station where at night time is dangerous I would not visit the hotel again only for the reason of the area where it is located c The wi fi was poor at the 3rd floor where we stayed,Negative
